%:12	% NULL:3	% hộ:3	% là:3	% số:3	&:75	& bảo_vệ:9	& eve:3	& hai:3	& kế_hoạch_hóa:3
& môi_trường:15	& nhà_đất:6	& ptnt:24	& vật_tư:6	& xh:3	& xã_hội:3	*e*:5802	*e* *e*:81	*e* *t*:6	*e* 47%:3
*e* NULL:18	*e* ai:9	*e* anh:9	*e* ba:3	*e* beo:3	*e* biết:36	*e* buồn:3	*e* buộc:9	*e* bà:3	*e* bài_trí:3
*e* bám:3	*e* bán:27	*e* báo_cáo:3	*e* báo_hiếu:3	*e* bây_giờ:6	*e* bí_mật:3	*e* băn_khoăn:3	*e* bước:3	*e* bảo:3	*e* bảo_đảm:3
*e* bầu:6	*e* bật:3	*e* bắn:6	*e* bắt:36	*e* bắt_cóc:3	*e* bắt_giữ:3	*e* bắt_đầu:9	*e* bằng:3	*e* bẻ:3	*e* bệnh_tật:3
*e* bị:48	*e* bị_thương:3	*e* bọc:3	*e* bỏ:12	*e* bố:3	*e* bố_trí:12	*e* bốn:3	*e* bồi_dưỡng:3	*e* bổ_nhiệm:3	*e* bỗng:3
*e* bộ:3	*e* ca_ngợi:3	*e* che_phủ:3	*e* chi:6	*e* chia:12	*e* chiếu_cố:3	*e* cho:33	*e* chuyển:24	*e* chuyển_giao:3	*e* chuyện:3
*e* chuẩn_bị:3	*e* chuộc:3	*e* chà:3	*e* chào_hỏi:3	*e* chán:3	*e* chèo:3	*e* chó:3	*e* chóng_vánh:3	*e* chúng:3	*e* chăm_lo:3
*e* chăm_sóc:3	*e* chơi:3	*e* chưa:39	*e* chưa_thể:3	*e* chạy:3	*e* chả:3	*e* chảy:3	*e* chấp_nhận:3	*e* chắc:27	*e* chắc_chắn:18
*e* chắt_chiu:3	*e* chẳng:21	*e* chặn:3	*e* chặt:6	*e* chỉ:105	*e* chịu:3	*e* chọn:9	*e* chọn_lựa:3	*e* chở:9	*e* chợt:6
*e* chủ_trương:3	*e* chủ_yếu:3	*e* chữa:3	*e* coi:9	*e* coi_thường:3	*e* con_cái:3	*e* cuối:3	*e* cuốn:3	*e* càng:30	*e* cá_tính:3
*e* các:6	*e* cám_ơn:3	*e* còn:54	*e* có:138	*e* có_khi:3	*e* có_thể:60	*e* cô_đơn:3	*e* công_an:3	*e* công_nhận:6	*e* công_ty:3
*e* cùng:6	*e* căm_thù:3	*e* cũng:159	*e* cưng:3	*e* cải_tiến:3	*e* cấp:15	*e* cấp_cứu:3	*e* cần:42	*e* cập:3	*e* cắn:3
*e* cắt:3	*e* cố:9	*e* cố_tình:3	*e* cột:9	*e* của:3	*e* cứ:51	*e* cứ_việc:3	*e* cứu:3	*e* cử:15	*e* cửa:3
*e* di_chuyển:3	*e* do:3	*e* download:3	*e* du_lịch:3	*e* duy_trì:3	*e* dán:6	*e* dã_ngoại:3	*e* dùng:6	*e* dư:3	*e* dẫn:3
*e* dắt:3	*e* dễ:9	*e* dễ_dàng:3	*e* dịch:6	*e* dọa:3	*e* dứt_điểm:3	*e* dự_báo:3	*e* dự_kiến:6	*e* dựng:6	*e* e:3
*e* em:9	*e* ghi:3	*e* ghi_chép:3	*e* ghi_tạc:3	*e* giam:6	*e* giao:36	*e* giao_khoán:3	*e* già_làng:3	*e* giúp_đỡ:6	*e* giải_phóng:3
*e* giải_quyết:9	*e* giải_đáp:3	*e* giấu:3	*e* giấy:3	*e* giật:3	*e* giặm:3	*e* giống:3	*e* giữ:6	*e* giữ_gìn:3	*e* gom:6
*e* gãy:3	*e* gói:9	*e* gõ:3	*e* gượng:3	*e* gả:6	*e* gần:3	*e* gắn:6	*e* gắng_gượng:3	*e* gặp:27	*e* gọi:33
*e* gửi:21	*e* h.:3	*e* hi_sinh:3	*e* hiểu:6	*e* hoan_hô:3	*e* hoàn_toàn:6	*e* hoàn_tất:3	*e* huy_động:3	*e* hãm_hại:3	*e* hãy:33
*e* hên:3	*e* hòa:3	*e* hút:6	*e* hư:3	*e* hưởng_thọ:3	*e* hạ:3	*e* hạnh:3	*e* hết:3	*e* học:12	*e* họp:3
*e* hỏi:24	*e* hỏi_thăm:6	*e* hỗ_trợ:3	*e* hủy_hoại:3	*e* hứa:3	*e* in:3	*e* khai:3	*e* khai_sinh:3	*e* khai_thác:3	*e* khai_trừ:6
