%:382	% 120:1	% 13:1	% 150:1	% 180:1	% 2:1	% 26:1	% 30:2	% 60:2	% 6\/2:1
% 90:2	% NULL:47	% a:4	% above:2	% according:2	% aim:1	% and:10	% as:1	% at:3	% before:2
% below:1	% black:1	% bond:2	% bonds:1	% boost:1	% britain:1	% by:2	% compared:2	% convertible:1	% decline:6
% default:1	% drop:8	% five:1	% for:1	% friday:2	% from:20	% gain:4	% germany:1	% goldman:1	% growth:2
% had:1	% have:1	% high:1	% higher:2	% however:1	% if:1	% in:32	% increase:8	% interest:5	% is:1
% issue:5	% its:1	% japan:1	% jump:3	% last:5	% loss:1	% low:1	% month-to-month:1	% more:2	% mr.:1
% near:1	% norway:1	% notes:1	% of:45	% offered:1	% on:6	% one:5	% or:2	% over:1	% partner:1
% plunge:1	% profit:1	% rate:2	% reduction:1	% reflecting:1	% reimburse:1	% return:3	% rise:3	% sales:1	% say:1
% securities:2	% senior:1	% share:1	% since:1	% six:3	% so:1	% stake:6	% standard:2	% subordinated:1	% switzerland:1
% the:2	% this:1	% three:4	% through:1	% to:42	% two:1	% up:1	% wage:1	% well:1	% were:1
% when:2	% while:4	% with:4	% year-to-year:1	&:80	& antiques:1	& associates:1	& banking:2	& barrow:1	& bradstreet:1
& clark:1	& co:10	& co.:29	& decker:1	& equity:1	& flom:1	& gamble:5	& health:1	& jenrette:1	& johnson:1
& kenyon:1	& loan:2	& lomb:2	& management:1	& newcastle:2	& poor:7	& rhoads:1	& rubicam:1	& saatchi:1	& sons:1
& telegraph:3	& turben:1	':47	' 3-4-5:1	' actions:1	' attention:1	' bid:1	' board:1	' books:1	' coalition:1
' comments:1	' complaints:1	' confidence:1	' customer:1	' debt:1	' demanding:1	' employment:1	' estimates:2	' eyes:1	' fault:1
' gyrations:1	' had:1	' hardware:1	' high:1	' hurried:1	' lack:1	' largest:1	' lounge:1	' minds:1	' opinions:1
' parent:2	' pay:1	' perception:1	' performance:1	' portfolio:1	' president:1	' price:1	' projections:1	' refusal:2	' revised:1
' shifting:1	' time:1	' trading:1	' union:1	' views:1	' weekend:1	' wishes:1	'70s:1	'70s costs:1	'90s:1
'90s kind:1	'cause:1	'cause his:1	'd:9	'd ask:1	'd be:1	'd get:1	'd gone:1	'd had:1	'd own:1
'd rather:1	'd try:1	'd vote:1	'em:1	'em both:1	'll:12	'll be:1	'll buy:1	'll do:1	'll get:1
'll have:2	'll need:1	'll pay:1	'll probably:1	'll save:1	'll start:1	'll still:1	'm:8	'm certainly:1	'm delighted:1
'm for:1	'm forever:1	'm interested:1	'm really:1	'm rooting:1	'm sure:1	're:27	're about:1	're already:1	're buying:1
're dead:1	're doing:1	're encouraged:1	're figuring:1	're glowing:1	're going:1	're in:2	're looking:1	're making:1	're moving:1
're often:1	're on:1	're pregnant:1	're right:1	're saddled:1	're satisfied:1	're saying:1	're seeing:3	're taking:1	're very:1
're wondering:1	's:806	's 1.8:1	's 10:1	's 11:2	's 150th:1	's 165-member:1	's 18-a-share:1	's 190-point:2	's 190.58-point:4
's 1956:1	's 1989:1	's 22.6:1	's 25,000-member:1	's 26,000:1	's 3:1	's 4.5:1	's 40-year:1	's 488:1	's 500:3
's 500-stock:2	's 6:1	's 60:1	's 7:2	's 7.20:1	's 71:1	's 88-point:2	's 9.6:1	's NULL:6	's a:16
's ability:2	's about:1	's acclaimed:1	's acquisition:3	's activities:1	's advice:1	's advisers:1	's aesthetic:1	's afrika:1	's all:1
's allegations:1	's also:2	's always:1	's ambitious:1	's an:2	's and:3	's andy:1	's announcement:2	's annual:1	's appointment:1
's arrest:1	's art:1	's article:1	's as:2	's assets:1	's associate:1	's assurance:2	's attempt:1	's attorney:3	's auction:2
's auctions:1	's automated:1	's baltimore:1	's bank:1	's baseball:1	's bashing:1	's bedside:1	's been:2	's believed:1	's benchmark:1
's best:1	's bid:1	's big:2	's biggest:6	's bill:1	's black:1	's blast:1	's blooper:1	's blue:1	's blue-chip:1
's bluest:1	's board:2	's bottom:1	's bread:1	's business:1	's but:1	's cable:1	's called:1	's candlestick:1	's capital:1
's cash:1	's catch:1	's catcher:1	's cathedral:1	's cave-in:1	's center:1	's chairman:6	's chairs:1	's characteristic:1	's charges:1
's chief:8	's claim:1	's client:2	's close:5	's closing:1	's clothes:1	's co-hero:1	's coalition:1	's cold:1	's collapse:1
's come:1	's comeback:1	's commission:1	's commodity:1	's common:2	's composite:1	's comptroller:1	's confectionery:1	's consumer:1	's contest:1
's continuing:1	's control:1	's core:2	's corp.:3	's correction:1	's counting:1	's credentials:1	's creditor:1	's crime:1	's daily:1
's damn:1	's darth:1	's day:1	's ddb:1	's dean:1	's debt-reduction:1	's decision:2	's decline:3	's defends:1	's denial:1
's departure:1	's desire:1	's destroys:1	's detention:1	's difficult:1	's direction:1	's director:1	's division:1	's dizzying:1	's domestic:1
's dominance:1	's done:2	's down:1	's dramatic:1	's drop:2	's dutiful:1	's early:1	's earnings:5	's easy-to-film:1	's economic:1
's edition:1	's education:1	's effective:1	's elections:1	's encouraging:1	's end:3	's entry:1	's equity:1	's especially:1	's estate:1
's events:3	's executive:2	's executives:1	's expansion:1	's expensive:1	's expert:1	's explosive:1	's fairfax:1	's fairness:1	's falling:1
's family:1	's famous:1	's farm:1	's fidelity:1	's filing:1	's final:2	's financial:2	's financing:1	's first:3	's five:1
's flight:1	's fling:1	's focus:1	's followed:1	's former:1	's founding:1	's four:2	's four-day:1	's franchise:1	's frankfurt:1
's free:1	's fried:1	's funding:1	's furniture:1	's gains:2	's gandhi:1	's gave:1	's geared:1	's general:1	's getting:1
's ghost:12	's global:2	's go:2	's goal:1	's going:4	's good:2	's got:2	's government:2	's great:1	's green:1
's gridlock:1	's growth:1	's gyrations:1	's had:1	's hair:1	's halt:1	's happening:1	's hard:2	's has:1	's head:2
's headquarters:2	's health:2	's heartstopping:1	's heavy:1	's high:1	's highly:1	's history:1	's holding:1	's holdings:3	's hong:1
's hot:1	's house:1	's how:1	's huge:1	's i860:1	's ideas:1	's ilford:1	's important:1	's in:1	's inc.:2
's increased:1	's index:1	's indulgence:1	's industrial:2	's infiniti:1	's influence:1	's institute:1	's intentions:1	's international:2	's investment:2
's investors:3	's involvement:1	's irises:1	's jeans:1	's jolt:1	's just:5	's king:1	's kingsbridge:1	's la-la:1	's largest:6
's late:1	's late-afternoon:2	's latest:2	's launch:1	's laws:1	's lead:2	's leader:1	's leading:2	's lean:1	's leftist:1
's legislature:1	's letter:1	's lever:1	's lexus:1	's liberals:1	's like:4	's lineup:1	's loan-loss:1	's london:1	's long-range:1
's long-term:1	's longstanding:1	's losing:1	's loss:1	's lots:1	's low:1	's low-profile:1	's lower:1	's main:1	's major:9
's manufacturing:1	's market:7	's marketing:2	's markets:2	's mazda:1	's meaningless:1	's medium:1	's megadrop:1	's members:1	's metamorphosis:1
's mills:1	's modest:2	's monday:1	's money:2	's monitors:1	's more:2	's most:4	's mother:1	's mounting:1	's mr.:6
's ms.:2	's music:1	's my:1	's national:2	's neck:1	's needed:1	's net:8	's new:5	's newly:1	's news:1
's next:1	's night:1	's no:5	's no.:2	's normal:1	's north:1	's not:11	's nothing:3	's now:2	's number:1
's objectives:1	's october:1	's offer:3	's office:7	's oil:1	's omaha:1	's on:1	's on-line:1	's one:1	's opening:4
's operating:1	's operations:3	's opposition:1	's optimism:1	's or:1	's otc:1	's ouster:1	's outlook:2	's output:1	's overnight:1
's own:1	's ozone:1	's pantry:1	's papers:1	's parent:1	's partial:1	's patent:2	's patent-infringement:1	's payment:1	's people:1
's performance:3	's permissible:1	's phone:1	's photography:1	's pick:1	's picocassette:1	's pilots:1	's plan:1	's plant:2	's plummet:1
's plunge:9	's plunging:1	's politburo:1	's political:1	's pontiac:1	's position:3	's possible:1	's potala:1	's precipitous:1	's preferred:2
's president:5	's press:1	's previously:1	's probably:1	's problem:1	's problems:2	's professional:1	's profit:4	's progress:1	's propane:1
's proposal:1	's prospects:1	's pulkova:1	's pure:1	's rally:5	's reactionary:1	's reasonable:1	's rebound:2	's rebounding:1	's receipt:1
's recent:1	's refugee:1	's regular:1	's release:1	's relevancy:1	's remaining:1	's report:2	's reputation:1	's required:1	's resilience:1
's resolve:1	's response:1	's restrictions:1	's restructuring:1	's results:3	's retailing:1	's return:1	's rhetorical:1	's rout:2	's ruling:1
's running:1	's s&ls:1	's safety:1	's saga:1	's said:2	's sale:1	's sales:3	's say:1	's scanner:1	's scheduled:1
's seat:1	's second:1	's second-biggest:1	's securities:2	's security:1	's sell-off:3	's selling:2	's sense:1	's session:3	's seven-member:1
's share:1	's shares:7	's sharp:1	's sharpest:1	's she:1	's sheremetyevo:1	's shirts:1	's show:1	's side:1	's simon:1
's six:1	's slate:1	's slide:1	's slowest:1	's smaller-than-average:1	's southeast:1	's special:1	's specialist:1	's standards:1	's state-owned:1
's steepest:1	's still:2	's stock:7	's straits:1	's strategy:1	's strength:1	's strongest:1	's stunning:1	's suit:1	's supervised:1
's supply:1	's technology:1	's temporary:1	's texas:1	's that:1	's the:6	's third:2	's three-run:1	's three-year-old:1	's thrift:1
