Consumers	NNS	2	SUB
may	MD	0	ROOT
want	VB	2	VC
to	TO	5	VMOD
move	VB	3	VMOD
their	PRP$	7	NMOD
telephones	NNS	5	OBJ
a	DT	9	NMOD
little	RB	10	AMOD
closer	RBR	5	VMOD
to	TO	10	AMOD
the	DT	14	NMOD
TV	NN	14	NMOD
set	NN	11	PMOD

Couch-potato	NN	2	NMOD
jocks	NNS	9	SUB
watching	VBG	2	NMOD
ABC	NNP	5	NMOD
's	POS	8	NMOD
Monday	NNP	8	NMOD
Night	NNP	8	NMOD
Football	NNP	3	OBJ
can	MD	0	ROOT
now	RB	9	VMOD
vote	VB	9	VC
during	IN	11	VMOD
halftime	NN	12	PMOD
for	IN	11	VMOD
the	DT	17	NMOD
greatest	JJS	17	NMOD
play	NN	14	PMOD
in	IN	17	NMOD
20	CD	20	NMOD
years	NNS	18	PMOD
from	IN	17	NMOD
among	IN	21	PMOD
four	CD	25	AMOD
or	CC	25	AMOD
five	CD	27	NMOD
filmed	VBN	27	NMOD
replays	NNS	22	PMOD

Two	CD	2	NMOD
weeks	NNS	3	AMOD
ago	RB	12	VMOD
,	,	12	P
viewers	NNS	12	SUB
of	IN	5	NMOD
several	JJ	11	NMOD
NBC	NNP	11	NMOD
daytime	JJ	11	NMOD
consumer	NN	11	NMOD
segments	NNS	6	PMOD
started	VBD	0	ROOT
calling	VBG	12	VMOD
a	DT	16	NMOD
900	CD	16	NMOD
number	NN	13	OBJ
for	IN	13	VMOD
advice	NN	17	PMOD
on	IN	18	NMOD
various	JJ	22	NMOD
life-style	NN	22	NMOD
issues	NNS	19	PMOD

And	CC	9	VMOD
the	DT	6	NMOD
new	JJ	6	NMOD
syndicated	JJ	6	NMOD
reality	NN	6	NMOD
show	NN	8	NMOD
Hard	NNP	8	NMOD
Copy	NNP	9	SUB
records	VBZ	0	ROOT
viewers	NNS	11	NMOD
'	POS	12	NMOD
opinions	NNS	9	OBJ
for	IN	9	VMOD
possible	JJ	15	NMOD
airing	NN	13	PMOD
on	IN	15	NMOD
the	DT	20	NMOD
next	JJ	20	NMOD
day	NN	20	NMOD
's	POS	21	NMOD
show	NN	16	PMOD

Interactive	JJ	3	NMOD
telephone	NN	3	NMOD
technology	NN	4	SUB
has	VBZ	15	VMOD
taken	VBN	4	VC
a	DT	8	NMOD
new	JJ	8	NMOD
leap	NN	5	OBJ
in	IN	8	NMOD
sophistication	NN	9	PMOD
,	,	15	P
and	CC	15	VMOD
television	NN	14	NMOD
programmers	NNS	15	SUB
are	VBP	0	ROOT
racing	VBG	15	VC
to	TO	18	VMOD
exploit	VB	16	VMOD
the	DT	20	NMOD
possibilities	NNS	18	OBJ

Eventually	RB	3	VMOD
viewers	NNS	3	SUB
may	MD	0	ROOT
grow	VB	3	VC
bored	VBN	4	PRD
with	IN	5	AMOD
the	DT	8	NMOD
technology	NN	6	PMOD
and	CC	4	VMOD
resent	VB	4	VMOD
the	DT	12	NMOD
cost	NN	10	OBJ

But	CC	5	VMOD
right	RB	5	VMOD
now	RB	2	AMOD
programmers	NNS	5	SUB
are	VBP	0	ROOT
figuring	VBG	5	VC
that	IN	6	VMOD
viewers	NNS	18	SUB
who	WP	8	NMOD
are	VBP	9	SBAR
busy	JJ	10	PRD
dialing	NN	11	AMOD
up	RP	12	VMOD
a	DT	15	NMOD
range	NN	12	OBJ
of	IN	15	NMOD
services	NNS	16	PMOD
may	MD	7	SBAR
put	VB	18	VC
down	RP	19	VMOD
their	PRP$	24	NMOD
remote	JJ	24	NMOD
control	NN	24	NMOD
zappers	NNS	19	OBJ
and	CC	19	VMOD
stay	VB	19	VMOD
tuned	VBN	26	PRD

We	PRP	2	SUB
've	VBP	18	VMOD
been	VBN	2	VC
spending	VBG	3	VC
a	DT	6	NMOD
lot	NN	4	OBJ
of	IN	6	NMOD
time	NN	7	PMOD
in	IN	4	VMOD
Los	NNP	11	NMOD
Angeles	NNP	9	PMOD
talking	VBG	4	VMOD
to	TO	12	VMOD
TV	NN	16	NMOD
production	NN	16	NMOD
people	NNS	13	PMOD
,	,	18	P
says	VBZ	0	ROOT
Mike	NNP	20	NMOD
Parks	NNP	22	NMOD
,	,	22	P
president	NN	18	SUB
of	IN	22	NMOD
Call	NNP	25	NMOD
Interactive	NNP	23	PMOD
,	,	25	P
which	WDT	25	NMOD
supplied	VBD	27	SBAR
technology	NN	28	OBJ
for	IN	29	NMOD
both	DT	38	NMOD
ABC	NNP	33	NMOD
Sports	NNPS	38	NMOD
and	CC	38	NMOD
NBC	NNP	36	NMOD
's	POS	38	NMOD
consumer	NN	38	NMOD
minutes	NNS	30	PMOD

With	IN	12	VMOD
the	DT	3	NMOD
competitiveness	NN	1	PMOD
of	IN	3	NMOD
the	DT	7	NMOD
television	NN	7	NMOD
market	NN	4	PMOD
these	DT	9	NMOD
days	NNS	12	VMOD
,	,	12	P
everyone	NN	12	SUB
is	VBZ	0	ROOT
looking	VBG	12	VC
for	IN	13	VMOD
a	DT	16	NMOD
way	NN	14	PMOD
to	TO	18	VMOD
get	VB	16	NMOD
viewers	NNS	21	SUB
more	RBR	21	AMOD
excited	JJ	18	VMOD

One	CD	12	SUB
of	IN	1	NMOD
the	DT	4	NMOD
leaders	NNS	2	PMOD
behind	IN	4	NMOD
the	DT	8	NMOD
expanded	VBN	8	NMOD
use	NN	5	PMOD
of	IN	8	NMOD
900	CD	11	NMOD
numbers	NNS	9	PMOD
is	VBZ	0	ROOT
Call	NNP	14	NMOD
Interactive	NNP	18	NMOD
,	,	18	P
a	DT	18	NMOD
joint	JJ	18	NMOD
venture	NN	12	PRD
of	IN	18	NMOD
giants	NNS	29	NMOD
American	NNP	23	NMOD
Express	NNP	23	NMOD
Co.	NNP	29	NMOD
and	CC	29	NMOD
American	NNP	29	NMOD
Telephone	NNP	29	NMOD
&	CC	29	NMOD
Telegraph	NNP	29	NMOD
Co	NNP	19	PMOD

Formed	VBN	7	VMOD
in	IN	1	VMOD
August	NNP	2	PMOD
,	,	7	P
the	DT	6	NMOD
venture	NN	7	SUB
weds	VBZ	0	ROOT
AT&T	NNP	9	NMOD
's	POS	13	NMOD
newly	RB	11	AMOD
expanded	VBN	13	NMOD
900	CD	13	NMOD
service	NN	7	OBJ
with	IN	7	VMOD
200	CD	17	NMOD
voice-activated	JJ	17	NMOD
computers	NNS	14	PMOD
in	IN	17	NMOD
American	NNP	21	NMOD
Express	NNP	21	NMOD
's	POS	27	NMOD
Omaha	NNP	24	NMOD
,	,	24	P
Neb.	NNP	27	NMOD
,	,	24	P
service	NN	27	NMOD
center	NN	18	PMOD

Other	JJ	3	NMOD
long-distance	NN	3	NMOD
carriers	NNS	4	SUB
have	VBP	15	VMOD
also	RB	4	VMOD
begun	VBN	4	VC
marketing	NN	6	VMOD
enhanced	VBN	10	NMOD
900	CD	10	NMOD
service	NN	7	OBJ
,	,	15	P
and	CC	15	VMOD
special	JJ	14	NMOD
consultants	NNS	15	SUB
are	VBP	0	ROOT
springing	VBG	15	VC
up	RP	16	VMOD
to	TO	19	VMOD
exploit	VB	16	VMOD
the	DT	22	NMOD
new	JJ	22	NMOD
tool	NN	19	OBJ

Blair	NNP	2	NMOD
Entertainment	NNP	7	NMOD
,	,	7	P
a	DT	7	NMOD
New	NNP	7	NMOD
York	NNP	7	NMOD
firm	NN	18	SUB
that	WDT	7	NMOD
advises	VBZ	8	SBAR
TV	NN	11	NMOD
stations	NNS	9	OBJ
and	CC	9	VMOD
sells	VBZ	9	VMOD
ads	NNS	13	OBJ
for	IN	13	VMOD
them	PRP	15	PMOD
,	,	7	P
has	VBZ	0	ROOT
just	RB	18	VMOD
formed	VBN	18	VC
a	DT	22	NMOD
subsidiary	NN	25	NMOD
--	:	25	P
900	CD	25	NMOD
Blair	NNP	20	OBJ
--	:	25	P
to	TO	28	VMOD
apply	VB	25	NMOD
the	DT	30	NMOD
technology	NN	28	OBJ
to	TO	28	VMOD
television	NN	31	PMOD

The	DT	2	NMOD
use	NN	7	SUB
of	IN	2	NMOD
900	CD	6	NMOD
toll	NN	6	NMOD
numbers	NNS	3	PMOD
has	VBZ	0	ROOT
been	VBN	7	VC
expanding	VBG	8	VC
rapidly	RB	9	VMOD
in	IN	9	VMOD
recent	JJ	13	NMOD
years	NNS	11	PMOD

For	IN	23	VMOD
a	DT	3	NMOD
while	NN	1	PMOD
,	,	23	P
high-cost	JJ	7	NMOD
pornography	NN	7	NMOD
lines	NNS	9	NMOD
and	CC	9	NMOD
services	NNS	23	SUB
that	WDT	9	NMOD
tempt	VBP	10	SBAR
children	NNS	14	SUB
to	TO	14	VMOD
dial	VB	11	VMOD
(	-LRB-	17	P
and	CC	17	DEP
redial	VB	14	VMOD
)	-RRB-	17	P
movie	NN	22	NMOD
or	CC	22	NMOD
music	NN	22	NMOD
